date,passengers_domestic,passengers_international,pax_total,flights_domestic,flights_international,flights_total,asm_domestic,asm_international,asm_total,rpm_domestic,rpm_international,rpm_total
2002-10-01,1584391,555909.0,2140300.0,21018,3649.0,24667.0,3145924,3621595.0,6767519.0,2182810,2722551.0,4905361.0
2002-11-01,1522333,533949.0,2056282.0,19952,3625.0,23577.0,2979775,3497708.0,6477483.0,2056578,2509096.0,4565674.0
2002-12-01,1703329,630439.0,2333768.0,20607,3878.0,24485.0,3121668,3742268.0,6863936.0,2369511,2881486.0,5250997.0
2003-01-01,1517819,579915.0,2097734.0,20146,3807.0,23953.0,3033226,3670713.0,6703939.0,2096337,2798212.0,4894549.0
2003-02-01,1359793,482550.0,1842343.0,17954,3314.0,21268.0,2666412,3254882.0,5921294.0,1833559,2348932.0,4182491.0
2003-03-01,1596890,515048.0,2111938.0,19978,3731.0,23709.0,3038412,3690470.0,6728882.0,2208725,2432253.0,4640978.0
2003-04-01,1552962,445420.0,1998382.0,18707,3459.0,22166.0,2876279,3301513.0,6177792.0,2166057,1989419.0,4155476.0
2003-05-01,1612036,484810.0,2096846.0,19071,3338.0,22409.0,2943458,3132407.0,6075865.0,2240661,2150922.0,4391583.0
2003-06-01,1786573,573697.0,2360270.0,19191,3427.0,22618.0,3047355,3318762.0,6366117.0,2566473,2672601.0,5239074.0
2003-07-01,1922016,639717.0,2561733.0,19967,3783.0,23750.0,3237125,3683746.0,6920871.0,2756781,2921845.0,5678626.0
2003-08-01,1935574,637922.0,2573496.0,19949,3633.0,23582.0,3230284,3683434.0,6913718.0,2759312,2933909.0,5693221.0
2003-09-01,1442395,515078.0,1957473.0,18855,3289.0,22144.0,2979642,3551018.0,6530660.0,1982115,2615132.0,4597247.0
2003-10-01,1562283,534379.0,2096662.0,19229,3426.0,22655.0,3111059,3621700.0,6732759.0,2198890,2662971.0,4861861.0
2003-11-01,1556539,541693.0,2098232.0,18783,3485.0,22268.0,3043025,3465079.0,6508104.0,2160277,2551302.0,4711579.0
2003-12-01,1689803,626792.0,2316595.0,20039,3747.0,23786.0,3203266,3604601.0,6807867.0,2408173,2778802.0,5186975.0
2004-01-01,1507158,586736.0,2093894.0,19823,3696.0,23519.0,3114463,3628432.0,6742895.0,2122414,2791208.0,4913622.0
2004-02-01,1475107,519944.0,1995051.0,18572,3393.0,21965.0,2915446,3363224.0,6278670.0,2037584,2476091.0,4513675.0
2004-03-01,1777029,584122.0,2361151.0,20229,3654.0,23883.0,3248954,3639545.0,6888499.0,2511676,2731155.0,5242831.0
2004-04-01,1813687,581303.0,2394990.0,20067,3660.0,23727.0,3243342,3639629.0,6882971.0,2585268,2643893.0,5229161.0
2004-05-01,1780922,634284.0,2415206.0,20628,3814.0,24442.0,3300356,3813404.0,7113760.0,2522892,2961446.0,5484338.0
2004-06-01,1946516,718433.0,2664949.0,20584,3972.0,24556.0,3387748,3951515.0,7339263.0,2881574,3382268.0,6263842.0
2004-07-01,2074232,738176.0,2812408.0,21346,4316.0,25662.0,3537397,4097803.0,7635200.0,3067814,3291681.0,6359495.0
2004-08-01,2078545,721797.0,2800342.0,21274,4326.0,25600.0,3509257,4119644.0,7628901.0,3035411,3185911.0,6221322.0
2004-09-01,1616600,596975.0,2213575.0,19525,3977.0,23502.0,3073076,3959565.0,7032641.0,2294544,2881608.0,5176152.0
2004-10-01,1741268,624616.0,2365884.0,20238,4061.0,24299.0,3219801,3909940.0,7129741.0,2488926,2931215.0,5420141.0
2004-11-01,1701516,588192.0,2289708.0,19489,3994.0,23483.0,3091198,3665139.0,6756337.0,2403703,2654814.0,5058517.0
2004-12-01,1758657,696168.0,2454825.0,20235,4339.0,24574.0,3226310,3884338.0,7110648.0,2511212,2987399.0,5498611.0
2005-01-01,1605493,650420.0,2255913.0,19617,4246.0,23863.0,3039337,3881179.0,6920516.0,2241152,2965791.0,5206943.0
2005-02-01,1467274,557626.0,2024900.0,17805,3710.0,21515.0,2717848,3447551.0,6165399.0,2025104,2582663.0,4607767.0
2005-03-01,1818118,676853.0,2494971.0,20063,4195.0,24258.0,3076347,3869223.0,6945570.0,2587181,3022911.0,5610092.0
2005-04-01,1704464,608998.0,2313462.0,19200,4171.0,23371.0,2941652,3769039.0,6710691.0,2391918,2744743.0,5136661.0
2005-05-01,1798725,683410.0,2482135.0,20152,4238.0,24390.0,3131723,3901367.0,7033090.0,2541326,3113701.0,5655027.0
2005-06-01,1939391,754021.0,2693412.0,19943,4444.0,24387.0,3200480,4062666.0,7263146.0,2819811,3457015.0,6276826.0
2005-07-01,2055964,799220.0,2855184.0,20572,4866.0,25438.0,3341310,4361814.0,7703124.0,2985996,3546176.0,6532172.0
2005-08-01,2033031,767810.0,2800841.0,20736,4801.0,25537.0,3298510,4325710.0,7624220.0,2933177,3357727.0,6290904.0
2005-09-01,1653004,645101.0,2298105.0,19441,4184.0,23625.0,3013532,4120639.0,7134171.0,2322669,3082163.0,5404832.0
2005-10-01,1705441,652407.0,2357848.0,19845,4074.0,23919.0,3072561,4039874.0,7112435.0,2410739,3072407.0,5483146.0
2005-11-01,1694115,608694.0,2302809.0,19116,3896.0,23012.0,2964347,3670279.0,6634626.0,2375344,2787473.0,5162817.0
